"function_name","data_range","start_time","end_time","time_lapse","iteration"
"consensus","chr3R-17815","2022-09-11 09:57:47.639665","2022-09-11 09:57:47.642966","00:00:00.003301",1
"consensus","chr3R-17815","2022-09-11 09:57:47.642966","2022-09-11 09:57:48.893042","00:00:01.250076",2
"consensus","chr3R-17815","2022-09-11 09:57:48.893042","2022-09-11 09:57:50.163493","00:00:01.270451",3
"consensus","chr3R-17815","2022-09-11 09:57:50.163493","2022-09-11 09:57:51.422603","00:00:01.25911",4
"consensus","chr3R-17815","2022-09-11 09:57:51.422603","2022-09-11 09:57:52.73824","00:00:01.315637",5
"consensus","chr3R-17815","2022-09-11 09:57:52.73824","2022-09-11 09:57:53.987659","00:00:01.249419",6
"consensus","chr3R-17815","2022-09-11 09:57:53.987659","2022-09-11 09:57:55.25205","00:00:01.264391",7
"consensus","chr3R-17815","2022-09-11 09:57:55.25205","2022-09-11 09:57:56.577726","00:00:01.325676",8
"consensus","chr3R-17815","2022-09-11 09:57:56.577726","2022-09-11 09:57:57.900251","00:00:01.322525",9
"consensus","chr3R-17815","2022-09-11 09:57:57.900251","2022-09-11 09:57:59.226699","00:00:01.326448",10
"consensus","chr3R-17815","2022-09-11 09:57:59.226699","2022-09-11 09:58:00.521332","00:00:01.294633",11
"consensus","chr3R-17815","2022-09-11 09:58:00.521332","2022-09-11 09:58:01.847558","00:00:01.326226",12
"consensus","chr3R-17815","2022-09-11 09:58:01.847558","2022-09-11 09:58:03.144484","00:00:01.296926",13
"consensus","chr3R-17815","2022-09-11 09:58:03.144484","2022-09-11 09:58:04.431596","00:00:01.287112",14
"consensus","chr3R-17815","2022-09-11 09:58:04.431596","2022-09-11 09:58:05.726541","00:00:01.294945",15
"consensus","chr3R-17815","2022-09-11 09:58:05.726541","2022-09-11 09:58:07.026764","00:00:01.300223",16
"consensus","chr3R-17815","2022-09-11 09:58:07.026764","2022-09-11 09:58:08.316065","00:00:01.289301",17
"consensus","chr3R-17815","2022-09-11 09:58:08.316065","2022-09-11 09:58:09.712598","00:00:01.396533",18
"consensus","chr3R-17815","2022-09-11 09:58:09.712598","2022-09-11 09:58:11.002608","00:00:01.29001",19
"consensus","chr3R-17815","2022-09-11 09:58:11.002608","2022-09-11 09:58:12.283361","00:00:01.280753",20
"consensus","chr3R-17815","2022-09-11 09:58:12.283361","2022-09-11 09:58:13.589567","00:00:01.306206",21
